,video,trial,fly_number,genotype
1,20170228_T5_V1,5,17,315x229
2,20170228_T5_V1,5,11,335x365
3,20170228_T5_V1,5,16,360x380
4,20170228_T5_V1,5,9,387x324
5,20170228_T5_V1,5,19,786x716
6,20170228_T5_V1,5,18,852x721
7,20170228_T5_V1,5,20,136x427
8,20170228_T5_V1,5,15,208x313
9,20170228_T5_V1,5,13,237x714
10,20170228_T5_V1,5,14,306x774
11,20170228_T5_V1,5,12,235x712
12,20170228_T5_V1,5,6,307x176
13,20170228_T5_V1,5,2,378x765
14,20170228_T5_V1,5,5,637x318
15,20170228_T5_V1,5,3,732x40
16,20170228_T5_V1,5,8,801x513
17,20170228_T5_V1,5,4,855x391
18,20170228_T5_V1,5,1,57x862
19,20170228_T5_V1,5,7,59x820
20,20170228_T5_V1,5,10,153x517
21,20170228_T6_V1,6,12,335x365
22,20170228_T6_V1,6,11,360x380
23,20170228_T6_V1,6,13,387x324
24,20170228_T6_V1,6,15,786x716
25,20170228_T6_V1,6,19,852x721
26,20170228_T6_V1,6,20,136x427
27,20170228_T6_V1,6,18,208x313
28,20170228_T6_V1,6,17,237x714
29,20170228_T6_V1,6,16,306x774
30,20170228_T6_V1,6,14,315x229
31,20170228_T6_V1,6,5,307x176
32,20170228_T6_V1,6,7,378x765
33,20170228_T6_V1,6,4,637x318
34,20170228_T6_V1,6,6,732x40
35,20170228_T6_V1,6,8,801x513
36,20170228_T6_V1,6,9,855x391
37,20170228_T6_V1,6,3,57x862
38,20170228_T6_V1,6,1,59x820
39,20170228_T6_V1,6,10,153x517
40,20170228_T6_V1,6,2,235x712
41,20170301_T5_V3,5,17,315x229
42,20170301_T5_V3,5,13,335x365
43,20170301_T5_V3,5,16,360x380
44,20170301_T5_V3,5,9,387x324
45,20170301_T5_V3,5,19,786x716
46,20170301_T5_V3,5,18,852x721
47,20170301_T5_V3,5,20,136x427
48,20170301_T5_V3,5,15,208x313
49,20170301_T5_V3,5,12,237x714
50,20170301_T5_V3,5,14,306x774
51,20170301_T5_V3,5,8,235x712
52,20170301_T5_V3,5,5,307x176
53,20170301_T5_V3,5,2,378x765
54,20170301_T5_V3,5,6,637x318
55,20170301_T5_V3,5,4,732x40
56,20170301_T5_V3,5,7,801x513
57,20170301_T5_V3,5,3,855x391
58,20170301_T5_V3,5,1,57x862
59,20170301_T5_V3,5,11,59x820
60,20170301_T5_V3,5,10,153x517
61,20170314_T12_V1.5,12,17,208x313
62,20170314_T12_V1.5,12,16,237x714
63,20170314_T12_V1.5,12,20,306x774
64,20170314_T12_V1.5,12,13,315x229
65,20170314_T12_V1.5,12,19,335x365
66,20170314_T12_V1.5,12,18,360x380
67,20170314_T12_V1.5,12,15,387x324
68,20170314_T12_V1.5,12,14,786x716
69,20170314_T12_V1.5,12,12,852x721
70,20170314_T12_V1.5,12,9,136x427
71,20170314_T12_V1.5,12,6,855x391
72,20170314_T12_V1.5,12,3,57x862
73,20170314_T12_V1.5,12,2,59x820
74,20170314_T12_V1.5,12,10,153x517
75,20170314_T12_V1.5,12,11,235x712
76,20170314_T12_V1.5,12,8,307x176
77,20170314_T12_V1.5,12,7,378x765
78,20170314_T12_V1.5,12,5,637x318
79,20170314_T12_V1.5,12,4,732x40
80,20170314_T12_V1.5,12,1,801x513
81,20170314_T14_V1.5,14,20,306x774
82,20170314_T14_V1.5,14,15,315x229
83,20170314_T14_V1.5,14,13,335x365
84,20170314_T14_V1.5,14,17,360x380
85,20170314_T14_V1.5,14,16,387x324
86,20170314_T14_V1.5,14,19,786x716
87,20170314_T14_V1.5,14,14,852x721
88,20170314_T14_V1.5,14,18,136x427
89,20170314_T14_V1.5,14,10,208x313
90,20170314_T14_V1.5,14,11,237x714
91,20170314_T14_V1.5,14,5,59x820
92,20170314_T14_V1.5,14,8,153x517
93,20170314_T14_V1.5,14,7,235x712
94,20170314_T14_V1.5,14,3,307x176
95,20170314_T14_V1.5,14,9,378x765
96,20170314_T14_V1.5,14,6,637x318
97,20170314_T14_V1.5,14,12,732x40
98,20170314_T14_V1.5,14,4,801x513
99,20170314_T14_V1.5,14,2,855x391
100,20170314_T14_V1.5,14,1,57x862
101,20170315_T13_V3,13,20,237x714
102,20170315_T13_V3,13,19,306x774
103,20170315_T13_V3,13,17,315x229
104,20170315_T13_V3,13,14,335x365
105,20170315_T13_V3,13,18,360x380
106,20170315_T13_V3,13,15,387x324
107,20170315_T13_V3,13,16,786x716
108,20170315_T13_V3,13,12,852x721
109,20170315_T13_V3,13,13,136x427
110,20170315_T13_V3,13,4,208x313
111,20170315_T13_V3,13,6,57x862
112,20170315_T13_V3,13,1,59x820
113,20170315_T13_V3,13,7,153x517
114,20170315_T13_V3,13,5,235x712
115,20170315_T13_V3,13,11,307x176
116,20170315_T13_V3,13,9,378x765
117,20170315_T13_V3,13,10,637x318
118,20170315_T13_V3,13,8,732x40
119,20170315_T13_V3,13,3,801x513
120,20170315_T13_V3,13,2,855x391
121,20170315_T18_V3.5,18,18,387x324
122,20170315_T18_V3.5,18,15,786x716
123,20170315_T18_V3.5,18,16,852x721
124,20170315_T18_V3.5,18,14,136x427
125,20170315_T18_V3.5,18,17,208x313
126,20170315_T18_V3.5,18,19,237x714
127,20170315_T18_V3.5,18,20,306x774
128,20170315_T18_V3.5,18,13,315x229
129,20170315_T18_V3.5,18,10,335x365
130,20170315_T18_V3.5,18,12,360x380
131,20170315_T18_V3.5,18,6,378x765
132,20170315_T18_V3.5,18,3,637x318
133,20170315_T18_V3.5,18,5,732x40
134,20170315_T18_V3.5,18,8,801x513
135,20170315_T18_V3.5,18,11,855x391
136,20170315_T18_V3.5,18,7,57x862
137,20170315_T18_V3.5,18,2,59x820
138,20170315_T18_V3.5,18,9,153x517
139,20170315_T18_V3.5,18,4,235x712
140,20170315_T18_V3.5,18,1,307x176
141,20170321_T21_V1,21,20,136x427
142,20170321_T21_V1,21,15,208x313
143,20170321_T21_V1,21,13,237x714
144,20170321_T21_V1,21,17,306x774
145,20170321_T21_V1,21,16,315x229
146,20170321_T21_V1,21,18,335x365
147,20170321_T21_V1,21,19,360x380
148,20170321_T21_V1,21,14,387x324
149,20170321_T21_V1,21,6,786x716
150,20170321_T21_V1,21,10,852x721
151,20170321_T21_V1,21,11,732x40
152,20170321_T21_V1,21,4,801x513
153,20170321_T21_V1,21,1,855x391
154,20170321_T21_V1,21,3,57x862
155,20170321_T21_V1,21,9,59x820
156,20170321_T21_V1,21,12,153x517
157,20170321_T21_V1,21,7,235x712
158,20170321_T21_V1,21,8,307x176
159,20170321_T21_V1,21,5,378x765
160,20170321_T21_V1,21,2,637x318
161,20170321_T22_V1.5,22,19,208x313
162,20170321_T22_V1.5,22,12,237x714
163,20170321_T22_V1.5,22,18,306x774
164,20170321_T22_V1.5,22,16,315x229
165,20170321_T22_V1.5,22,17,335x365
166,20170321_T22_V1.5,22,13,360x380
167,20170321_T22_V1.5,22,20,387x324
168,20170321_T22_V1.5,22,11,786x716
169,20170321_T22_V1.5,22,15,852x721
170,20170321_T22_V1.5,22,14,136x427
171,20170321_T22_V1.5,22,9,801x513
172,20170321_T22_V1.5,22,1,855x391
173,20170321_T22_V1.5,22,6,57x862
174,20170321_T22_V1.5,22,4,59x820
175,20170321_T22_V1.5,22,10,153x517
176,20170321_T22_V1.5,22,7,235x712
177,20170321_T22_V1.5,22,8,307x176
178,20170321_T22_V1.5,22,2,378x765
179,20170321_T22_V1.5,22,3,637x318
180,20170321_T22_V1.5,22,5,732x40
181,20170321_T25_V1,25,14,315x229
182,20170321_T25_V1,25,18,335x365
183,20170321_T25_V1,25,16,360x380
184,20170321_T25_V1,25,15,387x324
185,20170321_T25_V1,25,13,786x716
186,20170321_T25_V1,25,12,852x721
187,20170321_T25_V1,25,19,136x427
188,20170321_T25_V1,25,17,208x313
189,20170321_T25_V1,25,11,237x714
190,20170321_T25_V1,25,20,306x774
191,20170321_T25_V1,25,3,59x820
192,20170321_T25_V1,25,8,153x517
193,20170321_T25_V1,25,6,235x712
194,20170321_T25_V1,25,4,307x176
195,20170321_T25_V1,25,9,378x765
196,20170321_T25_V1,25,10,637x318
197,20170321_T25_V1,25,7,732x40
198,20170321_T25_V1,25,5,801x513
199,20170321_T25_V1,25,2,855x391
200,20170321_T25_V1,25,1,57x862
201,20170322_T21_V3,21,19,136x427
202,20170322_T21_V3,21,20,208x313
203,20170322_T21_V3,21,14,237x714
204,20170322_T21_V3,21,16,306x774
205,20170322_T21_V3,21,15,315x229
206,20170322_T21_V3,21,18,335x365
207,20170322_T21_V3,21,17,360x380
208,20170322_T21_V3,21,13,387x324
209,20170322_T21_V3,21,10,786x716
210,20170322_T21_V3,21,11,852x721
211,20170322_T21_V3,21,8,732x40
212,20170322_T21_V3,21,5,801x513
213,20170322_T21_V3,21,1,855x391
214,20170322_T21_V3,21,4,57x862
215,20170322_T21_V3,21,7,59x820
216,20170322_T21_V3,21,12,153x517
217,20170322_T21_V3,21,9,235x712
218,20170322_T21_V3,21,6,307x176
219,20170322_T21_V3,21,3,378x765
220,20170322_T21_V3,21,2,637x318
221,20170328_T27_V1,27,15,360x380
222,20170328_T27_V1,27,18,387x324
223,20170328_T27_V1,27,4,786x716
224,20170328_T27_V1,27,16,852x721
225,20170328_T27_V1,27,20,136x427
226,20170328_T27_V1,27,17,208x313
227,20170328_T27_V1,27,14,237x714
228,20170328_T27_V1,27,19,306x774
229,20170328_T27_V1,27,9,315x229
230,20170328_T27_V1,27,12,335x365
231,20170328_T27_V1,27,5,235x712
232,20170328_T27_V1,27,3,307x176
233,20170328_T27_V1,27,6,378x765
234,20170328_T27_V1,27,13,637x318
235,20170328_T27_V1,27,7,732x40
236,20170328_T27_V1,27,2,801x513
237,20170328_T27_V1,27,11,855x391
238,20170328_T27_V1,27,8,57x862
239,20170328_T27_V1,27,1,59x820
240,20170328_T27_V1,27,10,153x517
241,20170328_T28_V1.5,28,15,387x324
242,20170328_T28_V1.5,28,16,786x716
243,20170328_T28_V1.5,28,14,852x721
244,20170328_T28_V1.5,28,19,136x427
245,20170328_T28_V1.5,28,17,208x313
246,20170328_T28_V1.5,28,18,237x714
247,20170328_T28_V1.5,28,20,306x774
248,20170328_T28_V1.5,28,7,315x229
249,20170328_T28_V1.5,28,4,335x365
250,20170328_T28_V1.5,28,12,360x380
251,20170328_T28_V1.5,28,10,307x176
252,20170328_T28_V1.5,28,6,378x765
253,20170328_T28_V1.5,28,3,637x318
254,20170328_T28_V1.5,28,8,732x40
255,20170328_T28_V1.5,28,11,801x513
256,20170328_T28_V1.5,28,13,855x391
257,20170328_T28_V1.5,28,5,57x862
258,20170328_T28_V1.5,28,1,59x820
259,20170328_T28_V1.5,28,9,153x517
260,20170328_T28_V1.5,28,2,235x712
261,20170328_T29_V1,29,19,786x716
262,20170328_T29_V1,29,15,852x721
263,20170328_T29_V1,29,17,136x427
264,20170328_T29_V1,29,14,208x313
265,20170328_T29_V1,29,18,237x714
266,20170328_T29_V1,29,20,306x774
267,20170328_T29_V1,29,13,315x229
268,20170328_T29_V1,29,16,335x365
269,20170328_T29_V1,29,11,360x380
270,20170328_T29_V1,29,12,387x324
271,20170328_T29_V1,29,8,378x765
272,20170328_T29_V1,29,10,637x318
273,20170328_T29_V1,29,2,732x40
274,20170328_T29_V1,29,6,801x513
275,20170328_T29_V1,29,5,855x391
276,20170328_T29_V1,29,7,57x862
277,20170328_T29_V1,29,1,59x820
278,20170328_T29_V1,29,9,153x517
279,20170328_T29_V1,29,3,235x712
280,20170328_T29_V1,29,4,307x176
281,20170328_T30_V1.5,30,13,852x721
282,20170328_T30_V1.5,30,18,136x427
283,20170328_T30_V1.5,30,6,208x313
284,20170328_T30_V1.5,30,19,237x714
285,20170328_T30_V1.5,30,20,306x774
286,20170328_T30_V1.5,30,12,315x229
287,20170328_T30_V1.5,30,16,335x365
288,20170328_T30_V1.5,30,14,360x380
289,20170328_T30_V1.5,30,17,387x324
290,20170328_T30_V1.5,30,10,786x716
291,20170328_T30_V1.5,30,5,637x318
292,20170328_T30_V1.5,30,8,732x40
293,20170328_T30_V1.5,30,1,801x513
294,20170328_T30_V1.5,30,9,855x391
295,20170328_T30_V1.5,30,7,57x862
296,20170328_T30_V1.5,30,4,59x820
297,20170328_T30_V1.5,30,15,153x517
298,20170328_T30_V1.5,30,11,235x712
299,20170328_T30_V1.5,30,2,307x176
300,20170328_T30_V1.5,30,3,378x765
301,20170328_T31_V1,31,19,136x427
302,20170328_T31_V1,31,16,208x313
303,20170328_T31_V1,31,18,237x714
304,20170328_T31_V1,31,20,306x774
305,20170328_T31_V1,31,13,315x229
306,20170328_T31_V1,31,15,335x365
307,20170328_T31_V1,31,12,360x380
308,20170328_T31_V1,31,17,387x324
309,20170328_T31_V1,31,14,786x716
310,20170328_T31_V1,31,6,852x721
311,20170328_T31_V1,31,11,637x318
312,20170328_T31_V1,31,9,732x40
313,20170328_T31_V1,31,8,801x513
314,20170328_T31_V1,31,1,855x391
315,20170328_T31_V1,31,7,57x862
316,20170328_T31_V1,31,10,59x820
317,20170328_T31_V1,31,5,153x517
318,20170328_T31_V1,31,3,235x712
319,20170328_T31_V1,31,2,307x176
320,20170328_T31_V1,31,4,378x765
321,20170328_T33_V1,33,18,237x714
322,20170328_T33_V1,33,19,306x774
323,20170328_T33_V1,33,12,315x229
324,20170328_T33_V1,33,14,335x365
325,20170328_T33_V1,33,16,360x380
326,20170328_T33_V1,33,20,387x324
327,20170328_T33_V1,33,13,786x716
328,20170328_T33_V1,33,15,852x721
329,20170328_T33_V1,33,17,136x427
330,20170328_T33_V1,33,8,208x313
331,20170328_T33_V1,33,6,801x513
332,20170328_T33_V1,33,3,855x391
333,20170328_T33_V1,33,2,57x862
334,20170328_T33_V1,33,10,59x820
335,20170328_T33_V1,33,9,153x517
336,20170328_T33_V1,33,11,235x712
337,20170328_T33_V1,33,5,307x176
338,20170328_T33_V1,33,7,378x765
339,20170328_T33_V1,33,4,637x318
340,20170328_T33_V1,33,1,732x40
341,20170328_T34_V1.5,34,20,306x774
342,20170328_T34_V1.5,34,14,315x229
343,20170328_T34_V1.5,34,2,335x365
344,20170328_T34_V1.5,34,18,360x380
345,20170328_T34_V1.5,34,19,387x324
346,20170328_T34_V1.5,34,9,786x716
347,20170328_T34_V1.5,34,17,852x721
348,20170328_T34_V1.5,34,12,136x427
349,20170328_T34_V1.5,34,16,208x313
350,20170328_T34_V1.5,34,15,237x714
351,20170328_T34_V1.5,34,6,855x391
352,20170328_T34_V1.5,34,5,57x862
353,20170328_T34_V1.5,34,3,59x820
354,20170328_T34_V1.5,34,10,153x517
355,20170328_T34_V1.5,34,11,235x712
356,20170328_T34_V1.5,34,7,307x176
357,20170328_T34_V1.5,34,8,378x765
358,20170328_T34_V1.5,34,13,637x318
359,20170328_T34_V1.5,34,4,732x40
360,20170328_T34_V1.5,34,1,801x513
361,20170329_T27_V3,27,17,360x380
362,20170329_T27_V3,27,19,387x324
363,20170329_T27_V3,27,4,786x716
364,20170329_T27_V3,27,15,852x721
365,20170329_T27_V3,27,20,136x427
366,20170329_T27_V3,27,16,208x313
367,20170329_T27_V3,27,14,237x714
368,20170329_T27_V3,27,18,306x774
369,20170329_T27_V3,27,7,315x229
370,20170329_T27_V3,27,12,335x365
371,20170329_T27_V3,27,9,235x712
372,20170329_T27_V3,27,3,307x176
373,20170329_T27_V3,27,10,378x765
374,20170329_T27_V3,27,13,637x318
375,20170329_T27_V3,27,6,732x40
376,20170329_T27_V3,27,2,801x513
377,20170329_T27_V3,27,11,855x391
378,20170329_T27_V3,27,5,57x862
379,20170329_T27_V3,27,1,59x820
380,20170329_T27_V3,27,8,153x517
381,20170329_T31_V3,31,19,136x427
382,20170329_T31_V3,31,15,208x313
383,20170329_T31_V3,31,18,237x714
384,20170329_T31_V3,31,20,306x774
385,20170329_T31_V3,31,8,315x229
386,20170329_T31_V3,31,16,335x365
387,20170329_T31_V3,31,11,360x380
388,20170329_T31_V3,31,17,387x324
389,20170329_T31_V3,31,14,786x716
390,20170329_T31_V3,31,4,852x721
391,20170329_T31_V3,31,12,637x318
392,20170329_T31_V3,31,10,732x40
393,20170329_T31_V3,31,7,801x513
394,20170329_T31_V3,31,1,855x391
395,20170329_T31_V3,31,9,57x862
396,20170329_T31_V3,31,13,59x820
397,20170329_T31_V3,31,5,153x517
398,20170329_T31_V3,31,3,235x712
399,20170329_T31_V3,31,2,307x176
400,20170329_T31_V3,31,6,378x765
401,20170404_T39_V1,39,16,786x716
402,20170404_T39_V1,39,15,852x721
403,20170404_T39_V1,39,14,136x427
404,20170404_T39_V1,39,17,208x313
405,20170404_T39_V1,39,19,237x714
406,20170404_T39_V1,39,20,306x774
407,20170404_T39_V1,39,18,315x229
408,20170404_T39_V1,39,11,335x365
409,20170404_T39_V1,39,13,360x380
410,20170404_T39_V1,39,12,387x324
411,20170404_T39_V1,39,7,307x176
412,20170404_T39_V1,39,8,378x765
413,20170404_T39_V1,39,2,637x318
414,20170404_T39_V1,39,5,732x40
415,20170404_T39_V1,39,10,801x513
416,20170404_T39_V1,39,3,855x391
417,20170404_T39_V1,39,4,57x862
418,20170404_T39_V1,39,9,59x820
419,20170404_T39_V1,39,6,153x517
420,20170404_T39_V1,39,1,235x712
421,20170404_T40_V1.5,40,13,852x721
422,20170404_T40_V1.5,40,19,136x427
423,20170404_T40_V1.5,40,12,208x313
424,20170404_T40_V1.5,40,15,237x714
425,20170404_T40_V1.5,40,20,306x774
426,20170404_T40_V1.5,40,18,315x229
427,20170404_T40_V1.5,40,16,335x365
428,20170404_T40_V1.5,40,17,360x380
429,20170404_T40_V1.5,40,14,387x324
430,20170404_T40_V1.5,40,11,786x716
431,20170404_T40_V1.5,40,8,378x765
432,20170404_T40_V1.5,40,10,637x318
433,20170404_T40_V1.5,40,2,732x40
434,20170404_T40_V1.5,40,7,801x513
435,20170404_T40_V1.5,40,4,855x391
436,20170404_T40_V1.5,40,6,57x862
437,20170404_T40_V1.5,40,5,59x820
438,20170404_T40_V1.5,40,9,153x517
439,20170404_T40_V1.5,40,1,235x712
440,20170404_T40_V1.5,40,3,307x176
441,20170404_T41_V1,41,19,136x427
442,20170404_T41_V1,41,14,208x313
443,20170404_T41_V1,41,13,237x714
444,20170404_T41_V1,41,18,306x774
445,20170404_T41_V1,41,20,315x229
446,20170404_T41_V1,41,17,335x365
447,20170404_T41_V1,41,16,360x380
448,20170404_T41_V1,41,15,387x324
449,20170404_T41_V1,41,12,786x716
450,20170404_T41_V1,41,10,852x721
451,20170404_T41_V1,41,9,378x765
452,20170404_T41_V1,41,7,637x318
453,20170404_T41_V1,41,2,732x40
454,20170404_T41_V1,41,8,801x513
455,20170404_T41_V1,41,4,855x391
456,20170404_T41_V1,41,6,57x862
457,20170404_T41_V1,41,5,59x820
458,20170404_T41_V1,41,11,153x517
459,20170404_T41_V1,41,3,235x712
460,20170404_T41_V1,41,1,307x176
461,20170405_T35_V3,35,20,315x229
462,20170405_T35_V3,35,12,335x365
463,20170405_T35_V3,35,11,360x380
464,20170405_T35_V3,35,18,387x324
465,20170405_T35_V3,35,19,786x716
466,20170405_T35_V3,35,14,852x721
467,20170405_T35_V3,35,16,136x427
468,20170405_T35_V3,35,13,208x313
469,20170405_T35_V3,35,17,237x714
470,20170405_T35_V3,35,15,306x774
471,20170405_T35_V3,35,4,57x862
472,20170405_T35_V3,35,5,59x820
473,20170405_T35_V3,35,9,153x517
474,20170405_T35_V3,35,3,235x712
475,20170405_T35_V3,35,8,307x176
476,20170405_T35_V3,35,7,378x765
477,20170405_T35_V3,35,10,637x318
478,20170405_T35_V3,35,6,732x40
479,20170405_T35_V3,35,2,801x513
480,20170405_T35_V3,35,1,855x391
481,20170405_T41_V3,41,19,136x427
482,20170405_T41_V3,41,14,208x313
483,20170405_T41_V3,41,13,237x714
484,20170405_T41_V3,41,18,306x774
485,20170405_T41_V3,41,20,315x229
486,20170405_T41_V3,41,17,335x365
487,20170405_T41_V3,41,16,360x380
488,20170405_T41_V3,41,15,387x324
489,20170405_T41_V3,41,12,786x716
490,20170405_T41_V3,41,10,852x721
491,20170405_T41_V3,41,9,378x765
492,20170405_T41_V3,41,6,637x318
493,20170405_T41_V3,41,2,732x40
494,20170405_T41_V3,41,8,801x513
495,20170405_T41_V3,41,4,855x391
496,20170405_T41_V3,41,5,57x862
497,20170405_T41_V3,41,7,59x820
498,20170405_T41_V3,41,11,153x517
499,20170405_T41_V3,41,3,235x712
500,20170405_T41_V3,41,1,307x176
501,20170411_T43_V1,43,19,237x714
502,20170411_T43_V1,43,18,306x774
503,20170411_T43_V1,43,11,315x229
504,20170411_T43_V1,43,15,335x365
505,20170411_T43_V1,43,16,360x380
506,20170411_T43_V1,43,20,387x324
507,20170411_T43_V1,43,10,786x716
508,20170411_T43_V1,43,13,852x721
509,20170411_T43_V1,43,14,136x427
510,20170411_T43_V1,43,17,208x313
511,20170411_T43_V1,43,7,732x40
512,20170411_T43_V1,43,3,801x513
513,20170411_T43_V1,43,4,855x391
514,20170411_T43_V1,43,1,57x862
515,20170411_T43_V1,43,6,59x820
516,20170411_T43_V1,43,12,153x517
517,20170411_T43_V1,43,9,235x712
518,20170411_T43_V1,43,2,307x176
519,20170411_T43_V1,43,5,378x765
520,20170411_T43_V1,43,8,637x318
521,20170411_T44_V1.5,44,20,306x774
522,20170411_T44_V1.5,44,7,315x229
523,20170411_T44_V1.5,44,10,335x365
524,20170411_T44_V1.5,44,13,360x380
525,20170411_T44_V1.5,44,19,387x324
526,20170411_T44_V1.5,44,14,786x716
527,20170411_T44_V1.5,44,17,852x721
528,20170411_T44_V1.5,44,18,136x427
529,20170411_T44_V1.5,44,16,208x313
530,20170411_T44_V1.5,44,15,237x714
531,20170411_T44_V1.5,44,8,801x513
532,20170411_T44_V1.5,44,2,855x391
533,20170411_T44_V1.5,44,1,57x862
534,20170411_T44_V1.5,44,3,59x820
535,20170411_T44_V1.5,44,12,153x517
536,20170411_T44_V1.5,44,5,235x712
537,20170411_T44_V1.5,44,6,307x176
538,20170411_T44_V1.5,44,9,378x765
539,20170411_T44_V1.5,44,11,637x318
540,20170411_T44_V1.5,44,4,732x40
541,20170411_T47_V1,47,16,360x380
542,20170411_T47_V1,47,17,387x324
543,20170411_T47_V1,47,15,786x716
544,20170411_T47_V1,47,14,852x721
545,20170411_T47_V1,47,19,136x427
546,20170411_T47_V1,47,18,208x313
547,20170411_T47_V1,47,12,237x714
548,20170411_T47_V1,47,20,306x774
549,20170411_T47_V1,47,13,315x229
550,20170411_T47_V1,47,11,335x365
551,20170411_T47_V1,47,4,59x820
552,20170411_T47_V1,47,10,153x517
553,20170411_T47_V1,47,3,235x712
554,20170411_T47_V1,47,2,307x176
555,20170411_T47_V1,47,8,378x765
556,20170411_T47_V1,47,9,637x318
557,20170411_T47_V1,47,7,732x40
558,20170411_T47_V1,47,6,801x513
559,20170411_T47_V1,47,5,855x391
560,20170411_T47_V1,47,1,57x862
561,20170412_T43_V3,43,19,237x714
562,20170412_T43_V3,43,17,306x774
563,20170412_T43_V3,43,14,315x229
564,20170412_T43_V3,43,13,335x365
565,20170412_T43_V3,43,16,360x380
