video,date,trial,day,time,lightslefton,condensation,flystuck,frameshift,flicker,trackable,doubleexposed,potentialswaps,actualswaps,glitch,useable,frames,caltech_pxmm,manual_pxmm,femaleNR,femaleCO,femaleCY,femaleLG,femaleCG,femaleUB,femaleBB,femaleBP,femalePP,femaleTW,maleNR,maleCO,maleCY,maleLG,maleCG,maleUB,maleBB,maleBP,malePP,maleTW
20170228_T5_V1,2/28/17,5,1,09:00,No,No,No,No,No,Yes,No,45,0,No,Yes,35823,9.5215,9.64608,17,11,16,9,19,18,20,15,13,14,12,6,2,5,3,8,4,1,7,10
20170228_T6_V1,2/28/17,6,1,09:00,No,No,No,Small,No,Yes,No,91,2,No,Yes,35823,9.3414,9.46896,12,11,13,15,19,20,18,17,16,14,5,7,4,6,8,9,3,1,10,2
20170301_T5_V3,3/1/17,5,2,09:00,No,No,No,No,No,Yes,No,109,0,No,Yes,35824,9.7028,9.67296,17,13,16,9,19,18,20,15,12,14,8,5,2,6,4,7,3,1,11,10
20170314_T12_V1.5,3/14/17,12,1,09:30,No,No,No,Small,No,Yes,No,49,0,No,Yes,35823,10.3986,10.36224,17,16,20,13,19,18,15,14,12,9,6,3,2,10,11,8,7,5,4,1
20170314_T14_V1.5,3/14/17,14,1,09:30,No,No,No,Small,No,Yes,No,24,0,No,Yes,35801,9.9506,10.00368,20,15,13,17,16,19,14,18,10,11,5,8,7,3,9,6,12,4,2,1
20170315_T13_V3,3/15/17,13,2,09:00,No,No,No,Medium,No,Yes,No,8,0,No,Yes,35802,9.6982,9.8664,20,19,17,14,18,15,16,12,13,4,6,1,7,5,11,9,10,8,3,2
20170315_T18_V3.5,3/15/17,18,2,09:30,No,No,No,No,No,Yes,No,5,0,No,Yes,35768,9.516,9.57312,18,15,16,14,17,19,20,13,10,12,6,3,5,8,11,7,2,9,4,1
20170321_T21_V1,3/21/17,21,1,09:00,No,No,No,Small,No,Yes,No,24,0,No,Yes,35769,9.8618,9.88944,20,15,13,17,16,18,19,14,6,10,11,4,1,3,9,12,7,8,5,2
20170321_T22_V1.5,3/21/17,22,1,09:30,No,No,No,Small,No,Yes,No,7,0,No,Yes,35603,9.9573,9.95616,19,12,18,16,17,13,20,11,15,14,9,1,6,4,10,7,8,2,3,5
20170321_T25_V1,3/21/17,25,1,09:00,No,No,No,Small,No,Yes,No,18,0,No,Yes,35802,9.7754,9.80544,14,18,16,15,13,12,19,17,11,20,3,8,6,4,9,10,7,5,2,1
20170322_T21_V3,3/22/17,21,2,09:00,No,No,No,Small,No,Yes,No,216,2,No,Yes,35802,9.8603,9.88896,19,20,14,16,15,18,17,13,10,11,8,5,1,4,7,12,9,6,3,2
20170328_T27_V1,3/28/17,27,1,09:00,No,No,No,Small,No,Yes,No,39,4,No,Yes,35802,9.9506,10.15776,15,18,4,16,20,17,14,19,9,12,5,3,6,13,7,2,11,8,1,10
20170328_T28_V1.5,3/28/17,28,1,09:30,No,No,No,Small,No,Yes,No,22,0,No,Yes,35536,10.2963,10.39488,15,16,14,19,17,18,20,7,4,12,10,6,3,8,11,13,5,1,9,2
20170328_T29_V1,3/28/17,29,1,09:00,No,No,No,Medium,No,Yes,No,28,0,No,Yes,35702,9.8671,9.92784,19,15,17,14,18,20,13,16,11,12,8,10,2,6,5,7,1,9,3,4
20170328_T30_V1.5,3/28/17,30,1,09:30,No,No,No,Small,No,Yes,No,3,0,No,Yes,35702,9.9506,10.06944,13,18,6,19,20,12,16,14,17,10,5,8,1,9,7,4,15,11,2,3
20170328_T31_V1,3/28/17,31,1,09:00,No,No,No,Small,No,Yes,No,193,2,No,Yes,35802,9.9468,9.99648,19,16,18,20,13,15,12,17,14,6,11,9,8,1,7,10,5,3,2,4
20170328_T33_V1,3/28/17,33,1,09:00,No,No,No,Small,No,Yes,No,180,2,No,Yes,35801,9.6889,9.80976,18,19,12,14,16,20,13,15,17,8,6,3,2,10,9,11,5,7,4,1
20170328_T34_V1.5,3/28/17,34,1,09:30,No,No,No,No,No,Yes,No,82,0,No,Yes,35800,9.5183,9.6024,20,14,2,18,19,9,17,12,16,15,6,5,3,10,11,7,8,13,4,1
20170329_T27_V3,3/29/17,27,2,09:00,No,No,No,No,No,Yes,No,39,0,No,Yes,35735,10.1264,10.13376,17,19,4,15,20,16,14,18,7,12,9,3,10,13,6,2,11,5,1,8
20170329_T31_V3,3/29/17,31,2,09:00,No,No,No,No,No,Yes,No,64,0,No,Yes,35803,9.946,9.99648,19,15,18,20,8,16,11,17,14,4,12,10,7,1,9,13,5,3,2,6
20170404_T39_V1,4/4/17,39,1,09:00,No,No,No,Small,No,Yes,No,9,0,No,Yes,35767,9.9468,10.03296,16,15,14,17,19,20,18,11,13,12,7,8,2,5,10,3,4,9,6,1
20170404_T40_V1.5,4/4/17,40,1,09:30,No,No,No,No,No,Yes,No,41,0,No,Yes,35801,9.8603,9.94848,13,19,12,15,20,18,16,17,14,11,8,10,2,7,4,6,5,9,1,3
20170404_T41_V1,4/4/17,41,1,09:00,No,No,No,No,No,Yes,No,11,0,No,Yes,35802,9.7807,9.84768,19,14,13,18,20,17,16,15,12,10,9,7,2,8,4,6,5,11,3,1
20170405_T35_V3,4/5/17,35,2,09:00,No,No,No,Small,No,Yes,No,51,0,No,Yes,35802,10.1198,10.10448,20,12,11,18,19,14,16,13,17,15,4,5,9,3,8,7,10,6,2,1
20170405_T41_V3,4/5/17,41,2,09:00,No,No,No,Small,No,Yes,No,28,0,No,Yes,35802,9.6943,9.8352,19,14,13,18,20,17,16,15,12,10,9,6,2,8,4,5,7,11,3,1
20170411_T43_V1,4/11/17,43,1,09:00,No,No,No,No,No,Yes,No,12,0,No,Yes,35802,10.0333,10.11312,19,18,11,15,16,20,10,13,14,17,7,3,4,1,6,12,9,2,5,8
20170411_T44_V1.5,4/11/17,44,1,09:30,No,No,No,No,No,Yes,No,12,0,No,Yes,35802,10.292,10.33728,20,7,10,13,19,14,17,18,16,15,8,2,1,3,12,5,6,9,11,4
20170411_T47_V1,4/11/17,47,1,09:00,No,No,No,Small,No,Yes,No,11,0,No,Yes,35801,9.946,10.08,16,17,15,14,19,18,12,20,13,11,4,10,3,2,8,9,7,6,5,1
20170412_T43_V3,4/12/17,43,2,09:00,No,No,No,Small,No,Yes,No,12,0,No,Yes,35802,10.0348,10.0704,19,17,14,13,16,20,11,12,15,18,5,3,4,1,9,10,8,2,7,6
20170418_T51_V1,4/18/17,51,1,09:00,No,No,No,No,No,Yes,No,15,0,No,Yes,35802,9.9483,10.12992,20,16,11,19,15,13,18,17,14,12,5,8,7,1,9,6,4,2,10,3
20170418_T52_V1.5,4/18/17,52,1,09:30,No,No,No,Small,No,Yes,No,41,0,No,Yes,35801,10.2927,10.3344,16,20,17,7,15,18,14,13,12,19,8,10,1,9,6,2,5,11,3,4
20170418_T53_V1,4/18/17,53,1,09:00,No,No,No,Small,No,Yes,No,34,2,No,Yes,35801,9.8671,9.96624,16,19,10,14,20,17,13,15,18,11,9,4,6,2,3,5,12,8,1,7
20170418_T55_V1,4/18/17,55,1,09:00,No,No,No,Small,No,Yes,No,26,0,No,Yes,35802,9.8596,10.03248,10,16,13,15,19,17,20,14,12,18,9,2,4,8,11,5,6,3,7,1
20170419_T51_V3,4/19/17,51,2,09:00,No,No,No,No,No,Yes,No,17,0,No,Yes,35734,10.1212,10.13424,20,18,12,19,15,14,17,16,11,10,4,8,7,1,9,6,5,3,13,2
20170419_T52_V3.5,4/19/17,52,2,09:30,No,No,No,No,No,Yes,No,21,0,No,Yes,35801,10.2077,10.36992,16,20,19,7,18,17,13,14,12,15,9,11,1,8,6,4,3,10,2,5
20170419_T55_V3,4/19/17,55,2,09:00,No,No,No,Small,No,Yes,No,41,2,No,Yes,35802,9.946,10.06416,10,15,12,19,16,17,20,14,13,18,9,2,3,8,11,7,5,4,6,1
20170419_T58_V3.5,4/19/17,58,2,09:30,No,No,No,No,No,Yes,No,58,3,No,Yes,35802,9.6912,9.60288,18,13,16,20,19,17,14,15,12,11,6,8,7,2,10,9,4,3,1,5
20170425_T61_V1,4/25/17,61,1,09:00,No,No,No,Small,No,Yes,No,17,0,No,Yes,35703,9.8709,9.9288,12,19,18,20,5,16,17,15,14,13,11,4,9,1,7,10,6,2,3,8
20170425_T64_V1.5,4/25/17,64,1,09:30,No,No,No,Small,No,Yes,No,3,0,No,Yes,35803,9.8596,9.95184,20,13,15,14,19,11,16,8,18,17,12,3,7,9,2,4,10,5,1,6
20170425_T65_V1,4/25/17,65,1,09:00,No,No,No,Small,No,Yes,No,35,0,No,Yes,35802,9.7777,9.83136,11,13,12,15,14,17,19,20,18,16,8,10,4,2,5,9,7,6,3,1
20170426_T61_V3,4/26/17,61,2,09:00,No,No,No,Medium,No,Yes,No,8,2,No,Yes,35669,9.7777,9.91008,13,15,18,20,11,19,16,17,12,14,10,3,9,1,6,8,5,2,4,7
20170426_T64_V3.5,4/26/17,64,2,09:30,No,No,No,Small,No,Yes,No,17,0,No,Yes,35801,9.8603,9.96816,20,15,14,13,19,9,16,12,17,18,11,3,7,8,2,5,10,4,1,6
20170426_T65_V3,4/26/17,65,2,09:00,No,No,No,Small,No,Yes,No,38,0,No,Yes,35802,9.6912,9.84384,11,16,12,14,13,15,19,20,18,17,8,10,4,2,5,9,7,6,3,1
20170516_T67_V1,5/16/17,67,1,09:00,No,No,No,Small,No,Yes,No,60,0,No,Yes,35801,10.0348,10.12992,16,13,14,17,18,19,15,20,8,11,4,2,3,12,9,6,7,10,1,5
20170516_T68_V1.5,5/16/17,68,1,09:30,No,No,No,Small,No,Yes,No,21,0,No,Yes,35802,10.2062,10.3368,14,16,13,19,18,17,20,12,11,15,7,3,6,10,2,8,9,4,5,1
20170516_T69_V1,5/16/17,69,1,09:00,No,No,No,Small,No,Yes,No,18,0,No,Yes,35802,9.9506,10.00032,16,14,19,17,18,20,12,13,15,7,4,11,6,5,8,9,1,10,3,2
20170516_T71_V1,5/16/17,71,1,09:00,No,No,No,Medium,No,Yes,No,21,0,No,Yes,35802,9.8596,10.11216,20,14,12,18,11,15,19,17,16,10,13,8,4,6,9,5,7,3,2,1
20170517_T73_V3,5/17/17,73,2,09:00,No,No,No,Small,No,Yes,No,132,2,No,Yes,35802,9.8641,9.89136,19,16,3,13,14,18,20,15,17,12,9,6,1,5,11,10,7,4,8,2
20170523_T78_V1.5,5/23/17,78,1,09:30,No,No,No,Small,No,Yes,No,2,0,No,Yes,35802,9.9573,10.08816,14,16,18,11,17,19,20,4,13,15,10,5,9,6,8,3,7,12,1,2
20170523_T79_V1,5/23/17,79,1,09:00,No,No,No,Small,No,Yes,No,55,0,No,Yes,35802,9.946,10.15248,17,15,18,19,16,20,12,14,11,13,2,8,4,9,6,5,10,7,3,1
20170523_T82_V1.5,5/23/17,82,1,09:30,No,No,No,No,No,Yes,No,92,0,No,Yes,35801,9.6024,9.6384,13,17,18,4,12,20,14,16,15,19,10,5,2,8,7,9,11,6,1,3
20170524_T75_V3,5/24/17,75,2,09:00,No,No,No,Small,No,Yes,No,3,0,No,Yes,35801,10.0348,10.08432,9,14,13,18,15,16,17,20,19,12,5,8,7,10,3,6,11,2,1,4
20170524_T82_V3.5,5/24/17,82,2,09:30,No,No,No,No,No,Yes,No,40,0,No,Yes,35802,9.6024,9.63888,13,16,17,5,12,20,14,15,18,19,9,6,2,8,7,10,11,4,1,3
20170712_T84_V3.5,7/12/17,84,2,09:30,No,No,No,Small,No,Yes,No,40,0,No,Yes,35735,10.2062,10.43376,20,15,14,13,18,19,12,17,16,11,8,3,6,7,10,5,2,4,9,1
20170712_T85_V3,7/12/17,85,2,09:00,No,No,No,Small,No,Yes,No,7,0,No,Yes,35802,9.9506,9.95088,19,16,15,20,18,17,13,12,11,14,9,8,3,6,7,2,4,10,5,1
20170718_T98_V1.5,7/18/17,98,1,09:30,No,No,No,No,No,Yes,No,2,0,No,Yes,35802,9.6912,9.61344,17,15,14,16,19,18,20,11,12,10,9,3,4,6,8,13,7,5,2,1